Career,Deskripsi,Tips,Rata_rata_gaji,Kualifikasi_Formal
Accountant,Akuntan mengelola laporan keuangan dan pajak serta memastikan kepatuhan fiskal.,Ambil sertifikasi profesional (CPA/ACCA).,IDR 7.0–7.8 juta/bln (levels.fyi),S1 Akuntansi/Keuangan
Graphic Designer,"Mendesain logo, materi visual, dan konten digital untuk komunikasi brand.",Bangun portofolio online yang kuat.,IDR 4.9 juta/bln (~Rp 59 juta/tahun),D3/S1 Desain Grafis
Salesperson,Menjual produk dengan membangun relasi dan negosiasi dengan klien.,Kembangkan kemampuan negosiasi & closing deal.,USD 73 372/tahun ≈ IDR 1.1 milyar/tahun,SMA/S1 sesuai bidang
Research Scientist,Merancang dan melakukan eksperimen sambil mempublikasikan hasil penelitian.,Kuasai statistik dan teknik publikasi.,USD 60 000–90 000/tahun (asumsi global),S2/S3 bidang riset
Teacher,Mendidik siswa dengan materi kurikulum serta menilai perkembangan belajar.,Terapkan metode pengajaran interaktif.,IDR 4.7 juta/bln rata-rata lokal,S1 Pendidikan + Sert. Pendidik
Architect,"Mendesain bangunan dengan estetika, fungsi, dan regulasi yang sesuai.",Kuasai software AutoCAD/Revit.,IDR 5.8 juta/bln rata-rata lokal,S1 Arsitektur + SIPA
Nurse,Memberikan perawatan dan memonitor kondisi pasien di fasilitas kesehatan.,Perlu STR & empati tinggi.,IDR 4.95 juta/bln,D3/S1 Keperawatan + STR
Software Developer,Mengembangkan dan memelihara sistem perangkat lunak sesuai kebutuhan.,Bangun proyek nyata & ikut code review.,USD global rata-rata USD 70 000+/tahun (asumsi),S1 Ilmu Komputer/Informatika
Psychologist,Mengidentifikasi dan menganalisis kondisi mental untuk terapi.,Pelajari teknik konseling dan etika profesi.,USD estimasi USD 60 000/tahun global,S1 Psikologi + STR
Chef,"Merancang menu, memasak, dan mengelola operasional dapur.",Asah teknik kuliner dan plating.,IDR estimasi 5–8 juta/bln (SMK),SMK Tata Boga/S1 Kuliner
Marketing Manager,Merancang strategi promosi dan kampanye agar brand lebih dikenal.,Kuasai digital marketing & analytics.,USD estimasi USD 80 000+/tahun global,S1 Marketing
Physician,Mendiagnosa dan merawat pasien sesuai praktek medis.,Lanjutkan spesialisasi & klinik rutin.,USD estimasi USD 150 000+/tahun global,S1 Kedokteran + SIP & Spesialis
Artist,Berkarya seni visual untuk pameran atau pasar.,Kembangkan gaya personal & portfolio.,USD estimasi USD 30 000–50 000 tahunan,S1 Seni Rupa/Portofolio
Human Resources Manager,"Mengelola rekrutmen, pelatihan, dan hubungan karyawan.",Kuasai HRIS & hukum ketenagakerjaan.,USD estimasi USD 70 000+/tahun global,S1 Psikologi/Manajemen + sertifikasi HR
Construction Engineer,Mengawasi implementasi proyek bangunan agar sesuai spesifikasi.,Kuasai manajemen proyek & K3.,IDR estimasi 8–12 juta/bln,S1 Teknik Sipil + IPK
Journalist,Meneliti dan menulis berita serta feature investigatif.,Asah storytelling dan kecepatan tulis.,IDR estimasi 5–8 juta/bln,S1 Jurnalistik/Komunikasi
Astronomer,Mengobservasi dan menganalisis objek langit menggunakan instrumen kompleks.,Kuasai astrofisika & software data astronomi.,USD estimasi USD 60 000+/tahun global,S2/S3 Astronomi/Fisika
Financial Analyst,Menganalisis tren ekonomi & keuangan untuk perusahaan/investor.,Pelajari modeling dan CFA.,USD estimasi USD 65 000+/tahun global,S1 Keuangan/Ekonomi
Biologist,Meneliti kehidupan organisme untuk ilmu pengetahuan dan aplikasi teknologi.,Kuasai teknik lab & publikasi ilmiah.,USD estimasi USD 50 000+/tahun global,S1 Biologi/Molekuler
Event Planner,Menyusun acara dari konsep sampai pelaksanaan dengan efektivitas.,Latih koordinasi dan negosiasi vendor.,IDR estimasi 6–9 juta/bln,D3/S1 Manajemen/Event
Real Estate Agent,"Membantu klien menjual, membeli, dan menyewa properti dengan negosiasi & manajemen transaksi.",Bangun sertifikasi & jaringan lokal dalam industri properti.,"IDR 279,8 juta/tahun (erieri.com)",SMA/D3 Properti
Environmental Scientist,Menganalisis dampak lingkungan dan memberikan solusi berbasis data dan regulasi.,Dalami teknik sampling dan pemodelan lingkungan.,USD 80 060/tahun (AS),S1 Ilmu Lingkungan/Fisika
Lawyer,"Memberikan nasihat hukum, mewakili klien di pengadilan, dan menyusun dokumen legal.","Kuasai regulasi, skill litigasi, dan negosiasi.",USD 120 000+/tahun (estimasi AS),S1 Hukum + Advokat
